Du ser nu i overensstemmelse med dit produkts omfang de første 5.000 svar. Dog skal det oplyses, at der foreligger flere svar. Ved hjælp af en produkt-opgradering kan der efter betalingsindgang opnås adgang til alle svar.  Respondenternes svar bliver altid gemt, også i tilfælde hvor det maksimale antal svar er opnået.";
"";
"_Svar-ID";"Resume-Code";"Start";"Dato og tid";"Deltagerstatus";"1. Hvor gammel er du?";"2. Er du mand eller kvinde?";"3. Hvilken form for by bor du i?";"4. Hvad er din civil status?";"5. Har du hjemmeboende børn?";"6. Har du bil?";"7. Har du en cykel?";"8. Hvilken form for transport bruger du mest når du skal rundt i egen by?";"9. Hvilken form for transport bruger du mest når du skal ud for egen by?";"10. Hvor langt har du til arbejde?";"11. Hvilken form for transport bruger du mest til og fra arbejde?";"12. Hvor langt har du til skole?";"13. Hvilken form for transport bruger du mest til og fra skole?";"14. Har parkerings muligheder indflydelse på dit valg af transport?";"15. Hvis det er en solskinsdag - vælg det udsagn der passer bedst";"16. Hvis det er en regnvejrsdag - vælg det udsagn der passer bedst";
"83256643";"ab571ce";"03-05-2021 20:38";"03-05-2021 20:40";"deltaget og afsluttet";"26 - 35";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Cykel";"Bil";"Mellem 5-15 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83256647";"cb3b651";"03-05-2021 20:39";"03-05-2021 20:40";"deltaget og afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Tog";"Mellem 25-40 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256651";"7335bab";"03-05-2021 20:39";"03-05-2021 20:40";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"Single";"nej";"nej";"ja";"Jeg går/løber";"Bus";"Mellem 1-5 km";"Bus";"Mellem 1-5 km";"Jeg går/løber";"Ved ikke";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256660";"1fe712f";"03-05-2021 20:39";"03-05-2021 20:41";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Bil";"Tog";"Mellem 15-25 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256670";"9f70233";"03-05-2021 20:39";"03-05-2021 20:40";"deltaget og afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256695";"092207f";"03-05-2021 20:38";"03-05-2021 20:41";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83256713";"fb5b9f6";"03-05-2021 20:41";"03-05-2021 20:42";"deltaget og afsluttet";"26 - 35";"Kvinde";"Forstad";"I forhold";"ja";"ja";"nej";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83256732";"99988f0";"03-05-2021 20:38";"03-05-2021 20:42";"deltaget og afsluttet";"Over 60";"Kvinde";"Storby";"Single";"nej";"nej";"ja";"Bus";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ved ikke";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256738";"867d44a";"03-05-2021 20:41";"03-05-2021 20:42";"deltaget og afsluttet";"15 - 25";"Kvinde";"Forstad";"I forhold";"nej";"ja";"nej";"Bil";"Bil";"Mellem 1-5 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256791";"d979c8f";"03-05-2021 20:42";"03-05-2021 20:44";"deltaget og afsluttet";"15 - 25";"Kvinde";"Forstad";"Single";"ja";"nej";"ja";"Cykel";"Bus";"Mellem 1-5 km";"Cykel";"Mellem 15-25 km";"Bus";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83256926";"e6cecd5";"03-05-2021 20:45";"03-05-2021 20:46";"deltaget og afsluttet";"26 - 35";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Jeg arbejdeder kun hjemmefra";"Andet";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83257026";"cdde0a0";"03-05-2021 20:48";"03-05-2021 20:49";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83257158";"8535a09";"03-05-2021 20:51";"03-05-2021 20:52";"deltaget og afsluttet";"36 - 45";"Kvinde";"Storby";"I forhold";"nej";"ja";"ja";"Cykel";"Bil";"Under 1 km";"Jeg går/løber";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83257187";"4d25ab4";"03-05-2021 20:50";"03-05-2021 20:53";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Cykel";"Bil";"Under 1 km";"Cykel";"Mellem 1-5 km";"Cykel";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83257213";"e8733a3";"03-05-2021 20:52";"03-05-2021 20:54";"deltaget og afsluttet";"26 - 35";"Mand";"Storby";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Mellem 1-5 km";"Andet";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83257234";"69ed275";"03-05-2021 20:52";"03-05-2021 20:54";"deltaget og afsluttet";"45 - 60";"Kvinde";"Landet";"I forhold";"nej";"ja";"ja";"Jeg går/løber";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83257284";"b95a43c";"03-05-2021 20:54";"03-05-2021 20:55";"deltaget, men endnu ikke afsluttet";"Over 60";"Kvinde";"Landet";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Over 40 km";"Bil";"";"";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83257299";"d76439b";"03-05-2021 20:54";"03-05-2021 20:56";"deltaget og afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"ja";"ja";"nej";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83257302";"d007813";"03-05-2021 20:55";"03-05-2021 20:56";"deltaget og afsluttet";"45 - 60";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83257303";"fdb2db0";"03-05-2021 20:54";"03-05-2021 20:56";"deltaget og afsluttet";"Over 60";"Kvinde";"Landet";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83257328";"7996b5e";"03-05-2021 20:56";"03-05-2021 20:57";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83257361";"cf63336";"03-05-2021 20:57";"03-05-2021 20:58";"deltaget og afsluttet";"26 - 35";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83257386";"67ef888";"03-05-2021 20:54";"03-05-2021 20:59";"deltaget og afsluttet";"Over 60";"Kvinde";"Storby";"Single";"nej";"ja";"ja";"Cykel";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83257478";"deb110f";"03-05-2021 21:00";"03-05-2021 21:01";"deltaget og afsluttet";"45 - 60";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Over 40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler sjældent også selvom afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83257485";"3ad57f6";"03-05-2021 20:59";"03-05-2021 21:01";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"Ved ikke";"nej";"ja";"ja";"Jeg går/løber";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83257542";"96e5a88";"03-05-2021 21:01";"03-05-2021 21:03";"deltaget og afsluttet";"26 - 35";"Kvinde";"Landet";"I forhold";"nej";"nej";"ja";"Jeg går/løber";"Bus";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83257685";"35686b4";"03-05-2021 21:05";"03-05-2021 21:06";"deltaget og afsluttet";"Over 60";"Mand";"Forstad";"I forhold";"nej";"ja";"ja";"Jeg går/løber";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83257743";"765c720";"03-05-2021 21:05";"03-05-2021 21:07";"deltaget og afsluttet";"Over 60";"Kvinde";"Storby";"Single";"nej";"ja";"ja";"Cykel";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83257793";"178f424";"03-05-2021 21:08";"03-05-2021 21:09";"deltaget og afsluttet";"Over 60";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83257854";"a92cd59";"03-05-2021 21:09";"03-05-2021 21:10";"deltaget og afsluttet";"Over 60";"Mand";"Forstad";"I forhold";"nej";"ja";"ja";"Cykel";"Bil";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83257915";"986c75d";"03-05-2021 21:11";"03-05-2021 21:12";"deltaget og afsluttet";"45 - 60";"Kvinde";"Storby";"Single";"nej";"nej";"nej";"Bus";"Tog";"Mellem 5-15 km";"Bus";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Ved ikke";
"83258015";"0d70f56";"03-05-2021 21:13";"03-05-2021 21:15";"deltaget og afsluttet";"Over 60";"Mand";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Under 1 km";"Jeg går/løber";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83258041";"abf2cf0";"03-05-2021 21:14";"03-05-2021 21:15";"deltaget og afsluttet";"45 - 60";"Mand";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler sjældent også selvom afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83258044";"645625c";"03-05-2021 21:14";"03-05-2021 21:15";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83258062";"d326347";"03-05-2021 21:15";"03-05-2021 21:16";"deltaget og afsluttet";"36 - 45";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83258247";"432ecdb";"03-05-2021 21:20";"03-05-2021 21:21";"deltaget og afsluttet";"36 - 45";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83258416";"bf1703d";"03-05-2021 21:25";"03-05-2021 21:26";"deltaget og afsluttet";"15 - 25";"Mand";"Storby";"Single";"nej";"nej";"ja";"Bil";"Bil";"Mellem 5-15 km";"Bus";"Mellem 1-5 km";"Jeg går/løber";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83258425";"ab2db0e";"03-05-2021 21:25";"03-05-2021 21:26";"deltaget og afsluttet";"36 - 45";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Bus";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83258438";"2ec3e4a";"03-05-2021 20:42";"03-05-2021 21:27";"deltaget og afsluttet";"36 - 45";"Mand";"Storby";"I forhold";"ja";"ja";"nej";"Bil";"Bil";"Over 40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83258444";"4cb1f17";"03-05-2021 21:25";"03-05-2021 21:27";"deltaget og afsluttet";"45 - 60";"Mand";"Landet";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83258600";"0a1827f";"03-05-2021 21:30";"03-05-2021 21:32";"deltaget og afsluttet";"45 - 60";"Kvinde";"Storby";"Ved ikke";"nej";"nej";"ja";"Jeg går/løber";"Tog";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83258622";"b204543";"03-05-2021 21:31";"03-05-2021 21:32";"deltaget og afsluttet";"36 - 45";"Mand";"Forstad";"I forhold";"ja";"ja";"ja";"Tog";"Bil";"Mellem 25-40 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83258804";"caf65c4";"03-05-2021 21:35";"03-05-2021 21:37";"deltaget og afsluttet";"26 - 35";"Kvinde";"Forstad";"I forhold";"nej";"ja";"nej";"Bil";"Bil";"Jeg arbejdeder kun hjemmefra";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83258915";"c1723ff";"03-05-2021 21:37";"03-05-2021 21:39";"deltaget og afsluttet";"Over 60";"Mand";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83258940";"819dc18";"03-05-2021 21:39";"03-05-2021 21:40";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Jeg arbejdeder kun hjemmefra";"Jeg går/løber";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83258954";"6bdf4cc";"03-05-2021 21:39";"03-05-2021 21:41";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83259027";"d0113ca";"03-05-2021 21:41";"03-05-2021 21:42";"deltaget og afsluttet";"36 - 45";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Cykel";"Bil";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83259075";"2e266d4";"03-05-2021 21:41";"03-05-2021 21:44";"deltaget og afsluttet";"Over 60";"Mand";"Forstad";"I forhold";"ja";"ja";"nej";"Bil";"Bil";"Mellem 1-5 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83259257";"bed45d2";"03-05-2021 21:46";"03-05-2021 21:48";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83259308";"38b2c70";"03-05-2021 21:48";"03-05-2021 21:50";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"Single";"nej";"nej";"ja";"Cykel";"Bus";"Mellem 5-15 km";"Cykel";"Mellem 25-40 km";"Tog";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83259443";"d98235c";"03-05-2021 21:51";"03-05-2021 21:53";"deltaget og afsluttet";"15 - 25";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Cykel";"Bil";"Mellem 1-5 km";"Bil";"Mellem 1-5 km";"Cykel";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83259461";"98fac68";"03-05-2021 21:51";"03-05-2021 21:54";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Cykel";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83259472";"7a5072e";"03-05-2021 21:53";"03-05-2021 21:54";"deltaget og afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83259531";"be2eca3";"03-05-2021 21:54";"03-05-2021 21:55";"deltaget og afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Cykel";"Cykel";"Mellem 5-15 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83259612";"d71671e";"03-05-2021 21:56";"03-05-2021 21:58";"deltaget og afsluttet";"26 - 35";"Mand";"Storby";"I forhold";"nej";"nej";"ja";"Cykel";"Tog";"Mellem 1-5 km";"Cykel";"Mellem 1-5 km";"Cykel";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83259613";"c112059";"03-05-2021 21:57";"03-05-2021 21:58";"deltaget og afsluttet";"45 - 60";"Mand";"Forstad";"I forhold";"nej";"ja";"ja";"Jeg går/løber";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83259701";"bd88c29";"03-05-2021 21:55";"03-05-2021 22:00";"deltaget og afsluttet";"26 - 35";"Kvinde";"Landet";"I forhold";"ja";"ja";"ja";"Jeg går/løber";"Bil";"Under 1 km";"Jeg går/løber";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83260003";"2680f7a";"03-05-2021 22:08";"03-05-2021 22:09";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"Single";"nej";"ja";"ja";"Jeg går/løber";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83260120";"1af325a";"03-05-2021 22:11";"03-05-2021 22:12";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Jeg arbejdeder kun hjemmefra";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ved ikke";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83260126";"acb12b9";"03-05-2021 22:10";"03-05-2021 22:13";"deltaget og afsluttet";"15 - 25";"Mand";"Storby";"I forhold";"nej";"nej";"ja";"Cykel";"Tog";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Mellem 1-5 km";"Cykel";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83260130";"d5522ce";"03-05-2021 22:11";"03-05-2021 22:13";"deltaget og afsluttet";"45 - 60";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83260138";"d3a1b09";"03-05-2021 22:11";"03-05-2021 22:13";"deltaget og afsluttet";"36 - 45";"Kvinde";"Storby";"Single";"ja";"nej";"ja";"Cykel";"Tog";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83260187";"ffabf7e";"03-05-2021 22:13";"03-05-2021 22:14";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"Single";"nej";"ja";"ja";"Bil";"Bil";"Mellem 1-5 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83260221";"d3ad5d1";"03-05-2021 22:13";"03-05-2021 22:15";"deltaget og afsluttet";"26 - 35";"Mand";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Mellem 25-40 km";"Bil";"Mellem 25-40 km";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83260247";"5727bb1";"03-05-2021 22:14";"03-05-2021 22:15";"deltaget og afsluttet";"15 - 25";"Kvinde";"Forstad";"I forhold";"nej";"nej";"ja";"Bil";"Bil";"Under 1 km";"Cykel";"Under 1 km";"Cykel";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83260306";"719cd12";"03-05-2021 22:16";"03-05-2021 22:17";"deltaget og afsluttet";"36 - 45";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Jeg går/løber";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83260369";"041a514";"03-05-2021 22:16";"03-05-2021 22:19";"deltaget og afsluttet";"36 - 45";"Mand";"Storby";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83260413";"62ca45f";"03-05-2021 22:18";"03-05-2021 22:20";"deltaget og afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Tog";"Mellem 25-40 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83260415";"19d1235";"03-05-2021 22:16";"03-05-2021 22:20";"deltaget og afsluttet";"36 - 45";"Mand";"Storby";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 1-5 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
